query,hierarchy_data
Interest in Suspense - Other Lending,"{""asset"":{""level_1"":[""Assets""],""level_2"":[""Other Assets""],""level_3"":[""Suspense Accounts""],""level_4"":[""Interest Suspended""],""level_5"":[""Interest in Suspense ""],""level_6"":[""Interest in Suspense - Other Lending""]}}"
Interest in Suspense - Overdraft,"{""asset"":{""level_1"":[""Assets""],""level_2"":[""Other Assets""],""level_3"":[""Suspense Accounts""],""level_4"":[""Interest Suspended""],""level_5"":[""Interest in Suspense ""],""level_6"":[""Interest in Suspense - Overdraft""]}}"
Interest in Suspense - Term Loans,"{""asset"":{""level_1"":[""Assets""],""level_2"":[""Other Assets""],""level_3"":[""Suspense Accounts""],""level_4"":[""Interest Suspended""],""level_5"":[""Interest in Suspense ""],""level_6"":[""Interest in Suspense - Term Loans""]}}"
Interest in Suspense Account,"{""asset"":{""level_1"":[""Assets""],""level_2"":[""Other Assets""],""level_3"":[""Interest Receivable""],""level_4"":[""Interest Suspended""],""level_5"":[""Interest in Suspense""],""level_6"":[""Interest in Suspense Account""]}}"
Interest Payable,"{""interest_payable"":{""level_1"":[""Liabilities""],""level_2"":[""Other Liabilities""],""level_3"":[""Interest Payable""]}}"
Interest Payable - Call Deposits (FCY),"{""liabilities"":{""level_1"":[""Liabilities""],""level_2"":[""Other Liabilities""],""level_3"":[""Interest Payable""],""level_4"":[""Interest Payable""],""level_5"":[""Call Deposits""],""level_6"":[""Interest Payable - Call Deposits (FCY)""]}}"
Interest Payable - Call Deposits (LCY),"{""liabilities"":{""level_1"":[""Liabilities""],""level_2"":[""Other Liabilities""],""level_3"":[""Interest Payable""],""level_4"":[""Interest Payable""],""level_5"":[""Call Deposits""],""level_6"":[""Interest Payable - Call Deposits (LCY)""]}}"
Interest Payable - Cur - Banks (FCY),"{""liabilities"":{""level_1"":[""Liabilities""],""level_2"":[""Other Liabilities""],""level_3"":[""Interest Payable""],""level_4"":[""Interest Payable""],""level_5"":[""Cur Banks""],""level_6"":[""Interest Payable - Cur - Banks (FCY)""]}}"
Interest Payable - Cur - Banks (LCY),"{""liabilities"":{""level_1"":[""Liabilities""],""level_2"":[""Other Liabilities""],""level_3"":[""Interest Payable""],""level_4"":[""Interest Payable""],""level_5"":[""Cur Banks""],""level_6"":[""Interest Payable - Cur - Banks (LCY)""]}}"
Interest Payable - Cur Accounts (FCY),"{""liabilities"":{""level_1"":[""Liabilities""],""level_2"":[""Other Liabilities""],""level_3"":[""Interest Payable""],""level_4"":[""Interest Payable""],""level_5"":[""Cur Accounts""],""level_6"":[""Interest Payable - Cur Accounts (FCY)""]}}"
Interest Payable - Cur Accounts (LCY),"{""liability"":{""level_1"":[""Liabilities""],""level_2"":[""Other Liabilities""],""level_3"":[""Interest Payable""],""level_4"":[""Interest Payable""],""level_5"":[""Current Account""],""level_6"":[""Interest Payable - Cur Accounts (LCY)""]}}"
Interest Payable - Custodian Current Account,"{""liabilities"":{""level_1"":[""Liabilities""],""level_2"":[""Other Liabilities""],""level_3"":[""Interest Payable""],""level_4"":[""Interest Payable""],""level_5"":[""Custodian Current Account""],""level_6"":[""Interest Payable - Custodian Current Account""]}}"
Interest Payable - DCD,"{""liabilities"":{""level_1"":[""Liabilities""],""level_2"":[""Other Liabilities""],""level_3"":[""Interest Payable""],""level_4"":[""DCD""],""level_5"":[""DCD""],""level_6"":[""Interest Payable - DCD""]}}"
Interest Payable - Fixed Dep Recurring (FCY),"{""liabilities"":{""level_1"":[""Liabilities""],""level_2"":[""Other Liabilities""],""level_3"":[""Interest Payable""],""level_4"":[""Interest Payable""],""level_5"":[""Fixed Deposits Recurring""],""level_6"":[""Interest Payable - Fixed Dep Recurring (FCY)""]}}"
Interest Payable - Fixed Dep Recurring (LCY),"{""liabilities"":{""level_1"":[""Liabilities""],""level_2"":[""Other Liabilities""],""level_3"":[""Interest Payable""],""level_4"":[""Interest Payable""],""level_5"":[""Fixed Deposits Recurring""],""level_6"":[""Interest Payable - Fixed Dep Recurring (LCY)""]}}"
Interest Payable - Fixed Deposits (FCY),"{""liabilities"":{""level_1"":[""Liabilities""],""level_2"":[""Other Liabilities""],""level_3"":[""Interest Payable""],""level_4"":[""Interest Payable""],""level_5"":[""Fixed Deposits""],""level_6"":[""Interest Payable - Fixed Deposits (FCY)""]}}"
Interest Payable - Fixed Deposits (LCY),"{""liabilities"":{""level_1"":[""Liabilities""],""level_2"":[""Other Liabilities""],""level_3"":[""Interest Payable""],""level_4"":[""Interest Payable""],""level_5"":[""Fixed Deposits""],""level_6"":[""Interest Payable - Fixed Deposits (LCY)""]}}"
Interest Payable - Islamic Customer Deposits,"{""liabilities"":{""level_1"":[""Liabilities""],""level_2"":[""Other Liabilities""],""level_3"":[""Interest Payable""],""level_4"":[""Interest Payable""],""level_5"":[""Islamic Deposits""],""level_6"":[""Interest Payable - Islamic Customer Deposits""]}}"
Interest Payable - Locker Deposits,"{""liabilities"":{""level_1"":[""Liabilities""],""level_2"":[""Other Liabilities""],""level_3"":[""Interest Payable""],""level_4"":[""Interest Payable""],""level_5"":[""Locker Deposits""],""level_6"":[""Interest Payable - Locker Deposits""]}}"
Interest Payable - Long Term Borrowings (FCY),"{""liabilities"":{""level_1"":[""Liabilities""],""level_2"":[""Other Liabilities""],""level_3"":[""Interest Payable""],""level_4"":[""Interest Payable""],""level_5"":[""Long Term Borrowings""],""level_6"":[""Interest Payable - Long Term Borrowings (FCY)""]}}"
Interest Payable - Long Term Borrowings (LCY),"{""liabilities"":{""level_1"":[""Liabilities""],""level_2"":[""Other Liabilities""],""level_3"":[""Interest Payable""],""level_4"":[""Interest Payable""],""level_5"":[""Long Term Borrowings""],""level_6"":[""Interest Payable - Long Term Borrowings (LCY)""]}}"
Interest Payable - Online Savers,"{""liabilities"":{""level_1"":[""Liabilities""],""level_2"":[""Other Liabilities""],""level_3"":[""Interest Payable""],""level_4"":[""Interest Payable""],""level_5"":[""Online Savers""],""level_6"":[""Interest Payable - Online Savers""]}}"
Interest Payable - Sav Accounts (FCY),"{""liabilities"":{""level_1"":[""Liabilities""],""level_2"":[""Other Liabilities""],""level_3"":[""Interest Payable""],""level_4"":[""Interest Payable""],""level_5"":[""Savings Account""],""level_6"":[""Interest Payable - Sav Accounts (FCY)""]}}"
Interest Payable - Sav Accounts (LCY),"{""liabilities"":{""level_1"":[""Liabilities""],""level_2"":[""Other Liabilities""],""level_3"":[""Interest Payable""],""level_4"":[""Interest Payable""],""level_5"":[""Savings Account""],""level_6"":[""Interest Payable - Sav Accounts (LCY)""]}}"
Interest Rate Swap Assets,"{""asset"":{""level_1"":[""Assets""],""level_2"":[""Funded Assets""],""level_3"":[""Securities""],""level_4"":[""Derivatives""],""level_5"":[""Interest Rate Swap Assets""]}}"
Interest Rate Swaps,"{""asset"":{""level_1"":[""Assets""],""level_2"":[""Contra Assets""],""level_3"":[""Non-Funded Assets""],""level_4"":[""Placements""],""level_5"":[""Interest Rate Swaps""]}}"
Interest Rate Swaps (FCY),"{""asset"":{""level_1"":[""Assets""],""level_2"":[""Contingent Asset""],""level_3"":[""Non-Funded Assets""],""level_4"":[""Non-Funded Assets""],""level_5"":[""Interest Rate Swaps""],""level_6"":[""Interest Rate Swaps (FCY)""]}}"
Interest Rate Swaps (FCY),"{""liabilities"":{""level_1"":[""Liabilities""],""level_2"":[""Contingent Liability""],""level_3"":[""Contingent Liability""],""level_4"":[""Contingent Liability""],""level_5"":[""Interest Rate Swaps""],""level_6"":[""Interest Rate Swaps (FCY)""]}}"
Interest Rate Swaps (LCY),"{""asset"":{""level_1"":[""Assets""],""level_2"":[""Contingent Asset""],""level_3"":[""Non-Funded Assets""],""level_4"":[""Non-Funded Assets""],""level_5"":[""Interest Rate Swaps""],""level_6"":[""Interest Rate Swaps (LCY)""]}}"
Interest Rate Swaps (LCY),"{""liabilities"":{""level_1"":[""Liabilities""],""level_2"":[""Contingent Liability""],""level_3"":[""Contingent Liability""],""level_4"":[""Contingent Liability""],""level_5"":[""Interest Rate Swaps""],""level_6"":[""Interest Rate Swaps (LCY)""]}}"
Interest Recble-Asset Finance Loans (FCY),"{""asset"":{""level_1"":[""Assets""],""level_2"":[""Other Assets""],""level_3"":[""Interest Receivable""],""level_4"":[""Interest Receivable""],""level_5"":[""Asset Finance Loans""],""level_6"":[""Asset Finance Loans (FCY)""]}}"
Interest Recble-Asset Finance Loans (LCY),"{""asset"":{""level_1"":[""Assets""],""level_2"":[""Other Assets""],""level_3"":[""Interest Receivable""],""level_4"":[""Interest Receivable""],""level_5"":[""Asset Finance Loans""],""level_6"":[""Asset Finance Loans (LCY)""]}}"
Interest Receivable,"{""asset"":{""level_1"":[""Assets""],""level_2"":[""Other Assets""],""level_3"":[""Interest Receivable""],""level_4"":[""Interest Receivable""]}}"
Interest Receivable - Loans & Advances,"{""asset"":{""level_1"":[""Assets""],""level_2"":[""Other Assets""],""level_3"":[""Interest Receivable""],""level_4"":[""Interest Receivable""],""level_5"":[""Loans & Advances""],""level_6"":[""Interest Receivable - Loans & Advances""]}}"
Interest Receivable-Banks Abroad,"{""asset"":{""level_1"":[""Assets""],""level_2"":[""Other Assets""],""level_3"":[""Interest Receivable""],""level_4"":[""Interest Receivable""],""level_5"":[""Banks Abroad""],""level_6"":[""Interest Receivable-Banks Abroad""]}}"
Interest Receivable-Banks in  Kenya,"{""asset"":{""level_1"":[""Assets""],""level_2"":[""Other Assets""],""level_3"":[""Interest Receivable""],""level_4"":[""Interest Receivable""],""level_5"":[""Banks in  Kenya""],""level_6"":[""Interest Receivable-Banks in  Kenya ""]}}"
Interest Receivable-Commercial Papers,"{""asset"":{""level_1"":[""Assets""],""level_2"":[""Other Assets""],""level_3"":[""Interest Receivable""],""level_4"":[""UID""],""level_5"":[""Commercial Paper""],""level_6"":[""Commercial Paper""]}}"
Interest Receivable-Corporate Bonds,"{""asset"":{""level_1"":[""Assets""],""level_2"":[""Other Assets""],""level_3"":[""Interest Receivable""],""level_4"":[""Interest Receivable""],""level_5"":[""Corporate Bonds""],""level_6"":[""Corporate Bonds""]}}"
Interest Receivable-Credit Cards (FCY),"{""asset"":{""level_1"":[""Assets""],""level_2"":[""Other Assets""],""level_3"":[""Interest Receivable""],""level_4"":[""Interest Receivable""],""level_5"":[""Credit Cards ""],""level_6"":[""Credit Cards (FCY)""]}}"
Interest Receivable-Credit Cards (LCY),"{""asset"":{""level_1"":[""Assets""],""level_2"":[""Other Assets""],""level_3"":[""Interest Receivable""],""level_4"":[""Interest Receivable""],""level_5"":[""Credit Cards ""],""level_6"":[""Credit Cards (LCY)""]}}"
Interest Receivable-Demand Loans (FCY),"{""asset"":{""level_1"":[""Assets""],""level_2"":[""Other Assets""],""level_3"":[""Interest Receivable""],""level_4"":[""Interest Receivable""],""level_5"":[""Demand Loans ""],""level_6"":[""Demand Loans (FCY)""]}}"
Interest Receivable-Demand Loans (LCY),"{""asset"":{""level_1"":[""Assets""],""level_2"":[""Other Assets""],""level_3"":[""Interest Receivable""],""level_4"":[""Interest Receivable""],""level_5"":[""Demand Loans ""],""level_6"":[""Demand Loans (LCY)""]}}"
Interest Receivable-Floating Rate Notes (FCY),"{""asset"":{""level_1"":[""Assets""],""level_2"":[""Other Assets""],""level_3"":[""Interest Receivable""],""level_4"":[""Interest Receivable""],""level_5"":[""Floating Rate Notes""],""level_6"":[""Floating Rate Notes - FCY""]}}"
Interest Receivable-Govt Bonds,"{""asset"":{""level_1"":[""Assets""],""level_2"":[""Other Assets""],""level_3"":[""Interest Receivable""],""level_4"":[""Interest Receivable""],""level_5"":[""Govt Bonds ""],""level_6"":[""Govt Bonds ""]}}"
Interest Receivable-Hire Purchase (FCY),"{""asset"":{""level_1"":[""Assets""],""level_2"":[""Other Assets""],""level_3"":[""Interest Receivable""],""level_4"":[""Interest Receivable""],""level_5"":[""Hire Purchase""],""level_6"":[""Hire Purchase (FCY)""]}}"
Interest Receivable-Hire Purchase (LCY),"{""asset"":{""level_1"":[""Assets""],""level_2"":[""Other Assets""],""level_3"":[""Interest Receivable""],""level_4"":[""Interest Receivable""],""level_5"":[""Hire Purchase""],""level_6"":[""Hire Purchase (LCY)""]}}"
Interest Receivable-Housing Mortgage (FCY),"{""asset"":{""level_1"":[""Assets""],""level_2"":[""Other Assets""],""level_3"":[""Interest Receivable""],""level_4"":[""Interest Receivable""],""level_5"":[""Housing Mortgage ""],""level_6"":[""Housing Mortgage (FCY)""]}}"
Interest Receivable-Housing Mortgage (LCY),"{""asset"":{""level_1"":[""Assets""],""level_2"":[""Other Assets""],""level_3"":[""Interest Receivable""],""level_4"":[""Interest Receivable""],""level_5"":[""Housing Mortgage""],""level_6"":[""Housing Mortgage (LCY)""]}}"
Interest Receivable-Infrastructure Bond,"{""asset"":{""level_1"":[""Assets""],""level_2"":[""Other Assets""],""level_3"":[""Interest Receivable""],""level_4"":[""Interest Receivable""],""level_5"":[""Infrastructure Bonds""],""level_6"":[""Infrastructure Bonds""]}}"
Interest Receivable-Insurance Premium (FCY),"{""asset"":{""level_1"":[""Assets""],""level_2"":[""Other Assets""],""level_3"":[""Interest Receivable""],""level_4"":[""Interest Receivable""],""level_5"":[""Insurance Premium""],""level_6"":[""Insurance Premium (FCY)""]}}"
Interest Receivable-Insurance Premium (LCY),"{""asset"":{""level_1"":[""Assets""],""level_2"":[""Other Assets""],""level_3"":[""Interest Receivable""],""level_4"":[""Interest Receivable""],""level_5"":[""Insurance Premium""],""level_6"":[""Insurance Premium (LCY)""]}}"
Interest Receivable-IPO Finance (FCY),"{""asset"":{""level_1"":[""Assets""],""level_2"":[""Other Assets""],""level_3"":[""Interest Receivable""],""level_4"":[""Interest Receivable""],""level_5"":[""IPO Finance""],""level_6"":[""IPO Finance (FCY)""]}}"
Interest Receivable-IPO Finance (LCY),"{""asset"":{""level_1"":[""Assets""],""level_2"":[""Other Assets""],""level_3"":[""Interest Receivable""],""level_4"":[""Interest Receivable""],""level_5"":[""IPO Finance""],""level_6"":[""IPO Finance (LCY)""]}}"
Interest Receivable-LPO Finance (FCY),"{""asset"":{""level_1"":[""Assets""],""level_2"":[""Other Assets""],""level_3"":[""Interest Receivable""],""level_4"":[""Interest Receivable""],""level_5"":[""LPO Finance""],""level_6"":[""LPO Finance (FCY)""]}}"
Interest Receivable-LPO Finance (LCY),"{""asset"":{""level_1"":[""Assets""],""level_2"":[""Other Assets""],""level_3"":[""Interest Receivable""],""level_4"":[""Interest Receivable""],""level_5"":[""LPO Finance""],""level_6"":[""LPO Finance (LCY)""]}}"
Interest Receivable-LT Loans (FCY),"{""asset"":{""level_1"":[""Assets""],""level_2"":[""Other Assets""],""level_3"":[""Interest Receivable""],""level_4"":[""Interest Receivable""],""level_5"":[""Long Term Loans ""],""level_6"":[""Long Term Loans (FCY)""]}}"
Interest Receivable-LT Loans (LCY),"{""asset"":{""level_1"":[""Assets""],""level_2"":[""Other Assets""],""level_3"":[""Interest Receivable""],""level_4"":[""Interest Receivable""],""level_5"":[""Long Term Loans ""],""level_6"":[""Long Term Loans (LCY)""]}}"
Interest Receivable-MT Loans (FCY),"{""asset"":{""level_1"":[""Assets""],""level_2"":[""Other Assets""],""level_3"":[""Interest Receivable""],""level_4"":[""Interest Receivable""],""level_5"":[""MID Term Loans ""],""level_6"":[""MID Term Loans (FCY)""]}}"
Interest Receivable-MT Loans (LCY),"{""asset"":{""level_1"":[""Assets""],""level_2"":[""Other Assets""],""level_3"":[""Interest Receivable""],""level_4"":[""Interest Receivable""],""level_5"":[""MID Term Loans ""],""level_6"":[""MID Term Loans (LCY)""]}}"
Interest Receivable-Overdrafts (FCY),"{""asset"":{""level_1"":[""Assets""],""level_2"":[""Other Assets""],""level_3"":[""Interest Receivable""],""level_4"":[""Interest Receivable""],""level_5"":[""Overdrafts""],""level_6"":[""Overdrafts (FCY)""]}}"
Interest Receivable-Overdrafts (LCY),"{""asset"":{""level_1"":[""Assets""],""level_2"":[""Other Assets""],""level_3"":[""Interest Receivable""],""level_4"":[""Interest Receivable""],""level_5"":[""Overdrafts""],""level_6"":[""Overdrafts (LCY)""]}}"
Interest Receivable-Personal Loans (FCY),"{""asset"":{""level_1"":[""Assets""],""level_2"":[""Other Assets""],""level_3"":[""Interest Receivable""],""level_4"":[""Interest Receivable""],""level_5"":[""Personal Loans""],""level_6"":[""Personal Loans (FCY)""]}}"
Interest Receivable-Personal Loans (LCY),"{""asset"":{""level_1"":[""Assets""],""level_2"":[""Other Assets""],""level_3"":[""Interest Receivable""],""level_4"":[""Interest Receivable""],""level_5"":[""Personal Loans""],""level_6"":[""Personal Loans (LCY)""]}}"
Interest Receivable-SME Finance (FCY),"{""asset"":{""level_1"":[""Assets""],""level_2"":[""Other Assets""],""level_3"":[""Interest Receivable""],""level_4"":[""Interest Receivable""],""level_5"":[""SME Finance""],""level_6"":[""SME Finance (FCY)""]}}"
Interest Receivable-SME Finance (LCY),"{""asset"":{""level_1"":[""Assets""],""level_2"":[""Other Assets""],""level_3"":[""Interest Receivable""],""level_4"":[""Interest Receivable""],""level_5"":[""SME Finance""],""level_6"":[""SME Finance (LCY)""]}}"
Interest Receivable-ST Loans (FCY),"{""asset"":{""level_1"":[""Assets""],""level_2"":[""Other Assets""],""level_3"":[""Interest Receivable""],""level_4"":[""Interest Receivable""],""level_5"":[""Short Term Loans ""],""level_6"":[""Short Term Loans (FCY)""]}}"
Interest Receivable-ST Loans (LCY),"{""asset"":{""level_1"":[""Assets""],""level_2"":[""Other Assets""],""level_3"":[""Interest Receivable""],""level_4"":[""Interest Receivable""],""level_5"":[""Short Term Loans ""],""level_6"":[""Short Term Loans (LCY)""]}}"
Interest Receivable-Staff Loans (FCY),"{""asset"":{""level_1"":[""Assets""],""level_2"":[""Other Assets""],""level_3"":[""Interest Receivable""],""level_4"":[""Interest Receivable""],""level_5"":[""Staff Loans ""],""level_6"":[""Staff Loans (FCY)""]}}"
Interest Receivable-Staff Loans (LCY),"{""asset"":{""level_1"":[""Assets""],""level_2"":[""Other Assets""],""level_3"":[""Interest Receivable""],""level_4"":[""Interest Receivable""],""level_5"":[""Staff Loans ""],""level_6"":[""Staff Loans (LCY)""]}}"
Interest Receivable-Women Entp (FCY),"{""asset"":{""level_1"":[""Assets""],""level_2"":[""Other Assets""],""level_3"":[""Interest Receivable""],""level_4"":[""Interest Receivable""],""level_5"":[""Women Entp""],""level_6"":[""Women Entp (FCY)""]}}"
Interest Receivable-Women Entp (LCY),"{""asset"":{""level_1"":[""Assets""],""level_2"":[""Other Assets""],""level_3"":[""Interest Receivable""],""level_4"":[""Interest Receivable""],""level_5"":[""Women Entp""],""level_6"":[""Women Entp (LCY)""]}}"
Interest Suspended,"{""expense"":{""level_1"":[""Expenses""],""level_2"":[""Expenses""],""level_3"":[""Other Expense""],""level_4"":[""Interest Suspended""]}}"
Interest Suspended- Cur (FCY),"{""expense"":{""level_1"":[""Expenses""],""level_2"":[""Other Expense""],""level_3"":[""Suspense Accounts""],""level_4"":[""Interest Suspended""],""level_5"":[""Current Account ""],""level_6"":[""Current Account (FCY)""]}}"
Interest Suspended- Cur (LCY),"{""expense"":{""level_1"":[""Expenses""],""level_2"":[""Other Expense""],""level_3"":[""Suspense Accounts""],""level_4"":[""Interest Suspended""],""level_5"":[""Current Account ""],""level_6"":[""Current Account (LCY)""]}}"
Interest Suspended-Bills Discounted (FCY),"{""expense"":{""level_1"":[""Expenses""],""level_2"":[""Other Expense""],""level_3"":[""Suspense Accounts""],""level_4"":[""Interest Suspended""],""level_5"":[""Bills Discounted""],""level_6"":[""Bills Discounted (FCY)""]}}"
Interest Suspended-Bills Discounted (LCY),"{""expense"":{""level_1"":[""Expenses""],""level_2"":[""Other Expense""],""level_3"":[""Suspense Accounts""],""level_4"":[""Interest Suspended""],""level_5"":[""Bills Discounted""],""level_6"":[""Bills Discounted (LCY)""]}}"
Interest Suspended-Credit Cards (LCY),"{""expense"":{""level_1"":[""Expenses""],""level_2"":[""Other Expense""],""level_3"":[""Suspense Accounts""],""level_4"":[""Interest Suspended""],""level_5"":[""Credit Cards ""],""level_6"":[""Credit Cards (LCY)""]}}"
Interest Suspended-Demand Loans (FCY),"{""expense"":{""level_1"":[""Expenses""],""level_2"":[""Other Expense""],""level_3"":[""Suspense Accounts""],""level_4"":[""Interest Suspended""],""level_5"":[""Demand Loans""],""level_6"":[""Demand Loans (FCY)""]}}"
Interest Suspended-Demand Loans (LCY),"{""expense"":{""level_1"":[""Expenses""],""level_2"":[""Other Expense""],""level_3"":[""Suspense Accounts""],""level_4"":[""Interest Suspended""],""level_5"":[""Demand Loans""],""level_6"":[""Demand Loans (LCY)""]}}"
Interest Suspended-Hire Purchase (FCY),"{""expense"":{""level_1"":[""Expenses""],""level_2"":[""Other Expense""],""level_3"":[""Suspense Accounts""],""level_4"":[""Interest Suspended""],""level_5"":[""Hire Purchase""],""level_6"":[""Hire Purchase (FCY)""]}}"
Interest Suspended-Hire Purchase (LCY),"{""expense"":{""level_1"":[""Expenses""],""level_2"":[""Other Expense""],""level_3"":[""Suspense Accounts""],""level_4"":[""Interest Suspended""],""level_5"":[""Hire Purchase""],""level_6"":[""Hire Purchase (LCY)""]}}"
Interest Suspended-Housing Mortgage (FCY),"{""expense"":{""level_1"":[""Expenses""],""level_2"":[""Other Expense""],""level_3"":[""Suspense Accounts""],""level_4"":[""Interest Suspended""],""level_5"":[""Housing Mortgage""],""level_6"":[""Housing Mortgage (FCY)""]}}"
Interest Suspended-Housing Mortgage (LCY),"{""expense"":{""level_1"":[""Expenses""],""level_2"":[""Other Expense""],""level_3"":[""Suspense Accounts""],""level_4"":[""Interest Suspended""],""level_5"":[""Housing Mortgage""],""level_6"":[""Housing Mortgage (LCY)""]}}"
Interest Suspended-Insurance Premium (FCY),"{""expense"":{""level_1"":[""Expenses""],""level_2"":[""Other Expense""],""level_3"":[""Suspense Accounts""],""level_4"":[""Interest Suspended""],""level_5"":[""Insurance Premium""],""level_6"":[""Insurance Premium (FCY)""]}}"
Interest Suspended-Insurance Premium (LCY),"{""expense"":{""level_1"":[""Expenses""],""level_2"":[""Other Expense""],""level_3"":[""Suspense Accounts""],""level_4"":[""Interest Suspended""],""level_5"":[""Insurance Premium""],""level_6"":[""Insurance Premium (LCY)""]}}"
Interest Suspended-Overdrafts (FCY),"{""expense"":{""level_1"":[""Expenses""],""level_2"":[""Other Expense""],""level_3"":[""Suspense Accounts""],""level_4"":[""Interest Suspended""],""level_5"":[""Overdrafts ""],""level_6"":[""Overdrafts (FCY)""]}}"
Interest Suspended-Overdrafts (LCY),"{""expense"":{""level_1"":[""Expenses""],""level_2"":[""Other Expense""],""level_3"":[""Suspense Accounts""],""level_4"":[""Interest Suspended""],""level_5"":[""Overdrafts ""],""level_6"":[""Overdrafts (LCY)""]}}"
Interest Suspended-Sav (FCY),"{""expense"":{""level_1"":[""Expenses""],""level_2"":[""Other Expense""],""level_3"":[""Suspense Accounts""],""level_4"":[""Interest Suspended""],""level_5"":[""Savings Account""],""level_6"":[""Savings Account (FCY)""]}}"
Interest Suspended-Sav (LCY),"{""expense"":{""level_1"":[""Expenses""],""level_2"":[""Other Expense""],""level_3"":[""Suspense Accounts""],""level_4"":[""Interest Suspended""],""level_5"":[""Savings Account""],""level_6"":[""Savings Account (LCY)""]}}"
Interest Suspended-Staff Loans (FCY),"{""expense"":{""level_1"":[""Expenses""],""level_2"":[""Other Expense""],""level_3"":[""Suspense Accounts""],""level_4"":[""Interest Suspended""],""level_5"":[""Staff Loans""],""level_6"":[""Staff Loans (FCY)""]}}"
Interest Suspended-Staff Loans (LCY),"{""expense"":{""level_1"":[""Expenses""],""level_2"":[""Other Expense""],""level_3"":[""Suspense Accounts""],""level_4"":[""Interest Suspended""],""level_5"":[""Staff Loans""],""level_6"":[""Staff Loans (LCY)""]}}"
Interest Suspended-Term Loans (FCY),"{""expense"":{""level_1"":[""Expenses""],""level_2"":[""Other Expense""],""level_3"":[""Suspense Accounts""],""level_4"":[""Interest Suspended""],""level_5"":[""Term Loan""],""level_6"":[""Term Loans (FCY)""]}}"
Interest Suspended-Term Loans (LCY),"{""expense"":{""level_1"":[""Expenses""],""level_2"":[""Other Expense""],""level_3"":[""Suspense Accounts""],""level_4"":[""Interest Suspended""],""level_5"":[""Term Loan""],""level_6"":[""Term Loans (LCY)""]}}"
Interim Dividends,"{""expense"":{""level_1"":[""Expenses""],""level_2"":[""Other Expense""],""level_3"":[""Other Expense""],""level_4"":[""Other Expense""],""level_5"":[""Interim Dividends""],""level_6"":[""Interim Dividends""]}}"
Intersol Accounts,"{""liabilities"":{""level_1"":[""Liabilities""],""level_2"":[""Other Liabilities""],""level_3"":[""Interbank""],""level_4"":[""Transfers""],""level_5"":[""Intersol Accounts""],""level_6"":[""Intersol Accounts""]}}"
Investment Associate,"{""other"":{""level_1"":[""Investments""],""level_2"":[""Funded Assets""],""level_3"":[""Investment Associate""],""level_4"":[""Investment Associate""],""level_5"":[""Investment Associate""],""level_6"":[""Investment Associate""]}}"
Investment Income,"{""income"":{""level_1"":[""Income""],""level_2"":[""Other Income""],""level_3"":[""Other Income""],""level_4"":[""Investment Income""],""level_5"":[""Investment Income""],""level_6"":[""Investment Income""]}}"
Investment Income-Rental,"{""income"":{""level_1"":[""Income""],""level_2"":[""Other Income""],""level_3"":[""Other Income""],""level_4"":[""Investment Income""],""level_5"":[""Rental""],""level_6"":[""Investment Income-Rental""]}}"
Investment Securities,"{""asset"":{""level_1"":[""Assets""],""level_2"":[""Funded Assets""],""level_3"":[""Securities""],""level_4"":[""Investment Securities""],""level_5"":[""Investment Securities""],""level_6"":[""Investment Securities""]}}"
Investment Subsidiaries,"{""other"":{""level_1"":[""Investments""],""level_2"":[""Funded Assets""],""level_3"":[""Investment Subsidiaries""],""level_4"":[""Investment Subsidiaries""],""level_5"":[""Investment Subsidiaries""],""level_6"":[""Investment Subsidiaries""]}}"
Invoice Discounting ,"{""asset"":{""level_1"":[""Assets""],""level_2"":[""Funded Assets""],""level_3"":[""Loans & Advances""],""level_4"":[""Loans""],""level_5"":[""Other Loan""],""level_6"":[""Invoice Discounting""]}}"
IPO Finance,"{""asset"":{""level_1"":[""Assets""],""level_2"":[""Funded Assets""],""level_3"":[""Loans & Advances""],""level_4"":[""Loans""],""level_5"":[""IPO Finance""],""level_6"":[""IPO Finance""]}}"
Islamic Customer Deposits (FCY),"{""liabilities"":{""level_1"":[""Liabilities""],""level_2"":[""Funded Liability""],""level_3"":[""Customer Deposits""],""level_4"":[""Fixed Deposit""],""level_5"":[""Islamic Deposits""],""level_6"":[""Islamic Customer Deposits (FCY)""]}}"
Islamic Customer Deposits (LCY),"{""deposit"":{""level_1"":[""Liabilities""],""level_2"":[""Funded Liability""],""level_3"":[""Customer Deposits""],""level_4"":[""Current Account""],""level_5"":[""Islamic Deposits""],""level_6"":[""Islamic Customer Deposits (LCY)""]}}"
Islamic Deposits,"{""deposit"":{""level_1"":[""Liabilities""],""level_2"":[""Funded Liability""],""level_3"":[""Customer Deposits""],""level_4"":[""Current Account""],""level_5"":[""Islamic Deposits""]}}"
Islamic Finance,"{""asset"":{""level_1"":[""Assets""],""level_2"":[""Funded Assets""],""level_3"":[""Loans & Advances""],""level_4"":[""Loans""],""level_5"":[""Islamic Finance""],""level_6"":[""Islamic Finance""]}}"
I-Tax Transit Account,"{""expense"":{""level_1"":[""Expenses""],""level_2"":[""Expenses""],""level_3"":[""Tax""],""level_4"":[""Transit Account""],""level_5"":[""I-Tax""],""level_6"":[""I-Tax Transit Account""]}}"
